DATA_STRD_YM|SUBWAY_SCN_INNB|SUBWAY_SCN_NM|SUBWAY_ROUTE_NM|SUBWAY_SCN_CNTPNT_LA|SUBWAY_SCN_CNTPNT_LO|TOTL_FPOP|MALE_FPOP|FEMALE_FPOP
202504|MTRICI1120|부평|인천1호선|37.4778348300173|126.710293781664|51478060.0|25553719.0|25924341.0
202504|MTRICI1122|부평삼거리|인천1호선|37.4778348300173|126.710293781664|33625494.0|16515616.0|17109878.0
202504|MTRICI1123|간석오거리|인천1호선|37.464706281629795|126.69351903231801|19205883.0|9338191.0|9867692.0
202504|MTRICI1124|인천시청|인천1호선|36.3515240038326|127.38675140745602|102003621.0|52573220.0|49430401.0
202504|MTRICI1129|신연수|인천1호선|37.418108155054405|126.69401968196901|5105843.0|2525792.0|2580051.0
202504|MTRICI1130|원인재|인천1호선|37.4123688782408|126.687889114089|5738832.0|2935721.0|2803111.0
202504|MTRICI1139|송도달빛축제공원|인천1호선|37.406920219432|126.626017908463|3537530.0|1922940.0|1614590.0
202504|MTRICI2207|검암|인천2호선|37.5686781799536|126.67567426472002|7103471.0|3971787.0|3131684.0
202504|MTRICI2211|가정|인천2호선|37.5175263931377|126.676823324228|16412793.0|7946130.0|8466663.0
202504|MTRICI2212|가정중앙시장|인천2호선|37.5248168619511|126.675357432309|16412793.0|7946130.0|8466663.0
202504|MTRICI2215|인천가좌|인천2호선|37.4898360731372|126.67524202948901|16942790.0|8945374.0|7997416.0
202504|MTRICI2217|주안국가산단|인천2호선|37.4651552217129|126.67901572524602|23351251.0|13861523.0|9489728.0
202504|MTRICI2218|주안|인천2호선|37.4651552217129|126.67901572524602|11675626.0|6930762.0|4744864.0
202504|MTRICI2221|인천시청|인천2호선|37.5635793508101|126.975389363157|53638668.0|23495800.0|30142868.0
202504|MTRICI2226|인천대공원|인천2호선|35.8426978198866|128.679985217689|8329204.0|4565274.0|3763930.0
202504|MTRKR10104|지행|1호선|37.89234273432561|127.05579309162101|7587198.0|3649773.0|3937425.0
202504|MTRKR10114|도봉|1호선|37.6895116783324|127.046062716639|29650368.0|15516620.0|14133748.0
202504|MTRKR10116|창동|1호선|37.6533385121404|127.047644999036|21019997.0|10571788.0|10448209.0
202504|MTRKR10118|월계|1호선|37.6332775453974|127.058857087601|6987057.0|3342885.0|3644172.0
202504|MTRKR10122|외대앞|1호선|37.59627324166531|127.06369251069002|8025852.0|4221798.0|3804054.0
202504|MTRKR10137|대방|1호선|37.5133541397547|126.926494491427|44285417.0|21475032.0|22810385.0
202504|MTRKR10138|신길|1호선|37.516787032177106|126.918367210692|30326353.0|14502207.0|15824146.0
202504|MTRKR10141|덕정|1호선|37.84318765006941|127.06155932141|2090074.0|1234964.0|855110.0
202504|MTRKR10142|구일|1호선|37.49625451768701|126.86969110539002|8595804.0|4651926.0|3943878.0
202504|MTRKR10145|온수|1호선|37.4923999909922|126.82382881991498|12463871.0|6346715.0|6117156.0
202504|MTRKR10146|역곡|1호선|37.4853143586156|126.81205932067202|20162422.0|9906554.0|10255868.0
202504|MTRKR10150|송내|1호선|37.48764230897349|126.753161706076|9735824.0|4749012.0|4986812.0
202504|MTRKR10152|부평|1호선|37.4778348300173|126.710293781664|51478060.0|25553719.0|25924341.0
202504|MTRKR10153|성균관대|1호선|37.3003290017027|126.97102200002199|8974068.0|4735906.0|4238162.0
202504|MTRKR1100|소요산|1호선|37.9488975919392|127.06112860863801|563988.0|345315.0|218673.0
202504|MTRKR1101|동두천|1호선|37.9017807357936|127.05642330094|10433202.0|5660782.0|4772420.0
202504|MTRKR1102|보산|1호선|37.91414401803561|127.057181024749|2101799.0|1050087.0|1051712.0
202504|MTRKR1103|동두천중앙|1호선|37.9017807357936|127.05642330094|45086068.0|23181715.0|21904353.0
202504|MTRKR1106|덕계|1호선|37.8187525814885|127.05669167841502|5570707.0|2685229.0|2885478.0
202504|MTRKR1108|녹양|1호선|37.75938525330201|127.04227935160601|3460420.0|1812251.0|1648169.0
202504|MTRKR1109|가능|1호선|37.7483963196456|127.04428826484099|6709050.0|3267940.0|3441110.0
202504|MTRKR1110|의정부|1호선|37.7383624923599|127.045956826767|10902353.0|5495932.0|5406421.0
202504|MTRKR1111|회룡|1호선|37.7238058806629|127.04729536813798|8742444.0|4249477.0|4492967.0
202504|MTRKR1112|망월사|1호선|37.710219160990206|127.04741828550601|6005849.0|2902786.0|3103063.0
202504|MTRKR1113|도봉산|1호선|37.6895116783324|127.046062716639|29650368.0|15516620.0|14133748.0
202504|MTRKR1115|방학|1호선|37.6674383662755|127.044321721307|10249649.0|4967773.0|5281876.0
202504|MTRKR1117|녹천|1호선|37.6446334455677|127.051382018857|3891986.0|1943500.0|1948486.0
202504|MTRKR1120|석계|1호선|37.6150055273174|127.065689464129|18578086.0|9476304.0|9101782.0
202504|MTRKR1121|신이문|1호선|37.6017816437084|127.06739800377498|6317005.0|3266279.0|3050726.0
202504|MTRKR1123|회기|1호선|37.58979621966011|127.05804836927301|11886307.0|5562059.0|6324248.0
202504|MTRKR1134|남영|1호선|37.5405666724832|126.971330966082|6568966.0|3494367.0|3074599.0
202504|MTRKR1135|용산|1호선|37.52977356999731|126.964629612581|50744077.0|25364048.0|25380029.0
202504|MTRKR1136|노량진|1호선|37.5140547961008|126.942109882124|25177333.0|14343679.0|10833654.0
202504|MTRKR1139|영등포|1호선|37.5156726288261|126.90755027497501|65179922.0|31880294.0|33299628.0
202504|MTRKR1140|신도림|1호선|37.508908482648|126.891312500851|32384194.0|15393014.0|16991180.0
202504|MTRKR1143|개봉|1호선|37.4946417150651|126.858715959622|13932800.0|6649138.0|7283662.0
202504|MTRKR1144|오류동|1호선|37.4943972093355|126.844807448154|9681389.0|4397862.0|5283527.0
202504|MTRKR1147|소사|1호선|37.4828003271024|126.79564427244601|9142492.0|4391553.0|4750939.0
202504|MTRKR1148|부천|1호선|37.48398888429159|126.783081743529|26787303.0|13074480.0|13712823.0
202504|MTRKR1151|부개|1호선|37.488477043182|126.740730089704|7686106.0|3752518.0|3933588.0
202504|MTRKR1153|백운|1호선|37.48334249559699|126.70729440787102|4952575.0|2563337.0|2389238.0
202504|MTRKR1154|동암|1호선|37.4706957867304|126.70288975346202|9294999.0|4730162.0|4564837.0
202504|MTRKR1156|주안|1호선|37.4650523864467|126.67996793219|10207555.0|4998245.0|5209310.0
202504|MTRKR1157|도화|1호선|37.4661175111199|126.668575935273|8426868.0|4018425.0|4408443.0
202504|MTRKR1158|제물포|1호선|37.466819329635|126.65749387411799|6889754.0|3383514.0|3506240.0
202504|MTRKR1159|도원|1호선|37.468772556643|126.64253515710801|4015016.0|2036580.0|1978436.0
202504|MTRKR11715|세류|1호선|37.2438725201238|127.013799696499|2623947.0|1730127.0|893820.0
202504|MTRKR11816|간석|1호선|37.464706281629795|126.69351903231801|19205883.0|9338191.0|9867692.0
202504|MTRKR11822|중동|1호선|37.4866816250266|126.76453511373501|8493372.0|4130517.0|4362855.0
202504|MTRKR1199|광운대|1호선|37.62383736281491|127.06169516065101|5182583.0|2659793.0|2522790.0
202504|MTRKR1K107|양주|1호선|37.774142162216506|127.044721319691|854499.0|517471.0|337028.0
202504|MTRKR1K410|광명|1호선|37.4167362171922|126.884961689119|17422561.0|9279403.0|8143158.0
202504|MTRKR1P141|구로|1호선|37.503341556312805|126.882308062293|60111750.0|30696046.0|29415704.0
202504|MTRKR1P142|가산디지털단지|1호선|37.4815311901749|126.882614758479|28843314.0|16363288.0|12480026.0
202504|MTRKR1P143|독산|1호선|37.4659737678718|126.889477903364|8252289.0|4405304.0|3846985.0
202504|MTRKR1P144|금천구청|1호선|37.4561943743749|126.89360861458101|7453257.0|3622187.0|3831070.0
202504|MTRKR1P145|석수|1호선|37.43509293822681|126.902320783688|5058995.0|2884084.0|2174911.0
202504|MTRKR1P146|관악|1호선|37.4195679551732|126.908499995413|21115294.0|10839475.0|10275819.0
202504|MTRKR1P147|안양|1호선|37.4016838636508|126.922729807594|21222580.0|10190187.0|11032393.0
202504|MTRKR1P148|명학|1호선|37.3844604191546|126.93559279166699|10396994.0|5317158.0|5079836.0
202504|MTRKR1P149|금정|1호선|37.3723374611941|126.943270039101|16606551.0|8491691.0|8114860.0
202504|MTRKR1P150|군포|1호선|37.3541922784736|126.948517502286|13260981.0|6813340.0|6447641.0
202504|MTRKR1P151|당정|1호선|37.343689819399906|126.94837119045802|6946316.0|3472167.0|3474149.0
202504|MTRKR1P152|의왕|1호선|37.3203421132836|126.9479765012|5464020.0|2837038.0|2626982.0
202504|MTRKR1P154|화서|1호선|37.2840016829776|126.989612032647|9214180.0|4438175.0|4776005.0
202504|MTRKR1P155|수원|1호선|37.26568218296589|127.000049604844|42846248.0|22712659.0|20133589.0
202504|MTRKR1P157|병점|1호선|37.2067526994955|127.033200373093|9054813.0|4631168.0|4423645.0
202504|MTRKR1P157-2|서동탄|1호선|37.1957351505295|127.05185677919401|3089955.0|1580780.0|1509175.0
202504|MTRKR1P158|세마|1호선|37.1871352848477|127.043426817312|4667540.0|2457284.0|2210256.0
202504|MTRKR1P159|오산대|1호선|37.1447171633287|127.066630122646|27211138.0|14474080.0|12737058.0
