시군구,번지,단지명,주소,위도,경도,수집여부
경기도 가평군 가평읍 읍내리,292-7,에덴,경기도 가평군 가평읍 읍내리 292-7 에덴,37.8321281386098,127.520256899817,Y
경기도 평택시 합정동,934-2,목련,경기도 평택시 합정동 934-2 목련,36.986790248207,127.104351730557,Y
경기도 용인시 처인구 포곡읍 전대리,191-5,장미,경기도 용인시 처인구 포곡읍 전대리 191-5 장미,37.2860667739953,127.218398067296,Y
경기도 군포시 당정동,985-2,거성에이플102동,경기도 군포시 당정동 985-2 거성에이플102동,37.3477880166021,126.957798139889,Y
경기도 성남시 수정구 양지동,89,미성,경기도 성남시 수정구 양지동 89 미성,37.463498958654,127.167889357292,Y
경기도 평택시 비전동,488-5,한강,경기도 평택시 비전동 488-5 한강,36.9981437580721,127.094624941072,Y
경기도 군포시 당동,946-3,베이103동,경기도 군포시 당동 946-3 베이103동,37.3537820653602,126.939968452836,Y
경기도 용인시 기흥구 고매동,377-53,기흥하일랜드,경기도 용인시 기흥구 고매동 377-53 기흥하일랜드,37.2265106735981,127.109839715221,Y
경기도 구리시 교문동,219-29,신원,경기도 구리시 교문동 219-29 신원,37.5991651136724,127.133275892374,Y
경기도 평택시 현덕면 인광리,406-13,영흥(라),경기도 평택시 현덕면 인광리 406-13 영흥(라),36.9641024558514,126.919516027692,Y
경기도 남양주시 진건읍 사능리,350-1,동명나동,경기도 남양주시 진건읍 사능리 350-1 동명나동,37.6562187364083,127.182984686391,Y
경기도 안성시 금산동,22-11,샤인빌,경기도 안성시 금산동 22-11 샤인빌,37.0096511557044,127.267007121755,Y
경기도 용인시 수지구 죽전동,858-11,한솔노블(108동),경기도 용인시 수지구 죽전동 858-11 한솔노블(108동),37.330988396782,127.104836735017,Y
경기도 군포시 당정동,967-5,뷰티B동,경기도 군포시 당정동 967-5 뷰티B동,37.3476474537125,126.95415981503,Y
경기도 부천시 소사구 심곡본동,532-3,드림홈타운,경기도 부천시 소사구 심곡본동 532-3 드림홈타운,37.4845844491546,126.775793472853,Y
경기도 화성시 병점동,847,안화동마을우남퍼스트빌,경기도 화성시 병점동 847 안화동마을우남퍼스트빌,37.2143323490247,127.046080715131,Y
경기도 평택시 신장동,267-293,신미,경기도 평택시 신장동 267-293 신미,37.0748601465602,127.047357789627,Y
경기도 이천시 창전동,428-11,고려1,경기도 이천시 창전동 428-11 고려1,37.2841883480898,127.444882191244,Y
경기도 시흥시 포동,1-76,무궁화,경기도 시흥시 포동 1-76 무궁화,37.4086141534295,126.787760402257,Y
경기도 군포시 당정동,967-1,뷰티A동,경기도 군포시 당정동 967-1 뷰티A동,37.3475868433568,126.954002185595,Y
경기도 구리시 인창동,640-12,이건필그린아파트101,경기도 구리시 인창동 640-12 이건필그린아파트101,37.6072835307081,127.129836990107,Y
경기도 용인시 처인구 포곡읍 전대리,150-3,동화,경기도 용인시 처인구 포곡읍 전대리 150-3 동화,37.2826555366465,127.220052371485,Y
경기도 화성시 오산동,864-37,리버힐,경기도 화성시 오산동 864-37 리버힐,,,N
경기도 성남시 분당구 정자동,6,파크뷰,경기도 성남시 분당구 정자동 6 파크뷰,37.3747286211533,127.106861157832,Y
경기도 수원시 팔달구 화서동,206-8,신우상가,경기도 수원시 팔달구 화서동 206-8 신우상가,37.2811645507723,126.997124585058,Y
경기도 용인시 수지구 죽전동,1373,내대지마을힐스테이트,경기도 용인시 수지구 죽전동 1373 내대지마을힐스테이트,37.3311005477438,127.128859991972,Y
경기도 성남시 분당구 정자동,15-4,두산제니스,경기도 성남시 분당구 정자동 15-4 두산제니스,37.3695205687812,127.107497827507,Y
경기도 평택시 안중읍 현화리,288-1,한양빌리지,경기도 평택시 안중읍 현화리 288-1 한양빌리지,36.9872333267899,126.92473133724,Y
경기도 부천시 오정구 오정동,140-17,서문,경기도 부천시 오정구 오정동 140-17 서문,37.5233643527888,126.79585710609,Y
경기도 안양시 만안구 안양동,428-6,"한솔(106동1,2호)","경기도 안양시 만안구 안양동 428-6 한솔(106동1,2호)",37.3914966869232,126.928980916575,Y
경기도 용인시 처인구 원삼면 좌항리,106-42,영구(101동),경기도 용인시 처인구 원삼면 좌항리 106-42 영구(101동),37.2024914423511,127.321500589049,Y
경기도 화성시 송산면 사강리,628-9,송산,경기도 화성시 송산면 사강리 628-9 송산,37.2144223078564,126.737498661525,Y
경기도 부천시 소사구 괴안동,112-10,아이원,경기도 부천시 소사구 괴안동 112-10 아이원,37.484228698889,126.809840638701,Y
경기도 안양시 만안구 안양동,709-33,아성,경기도 안양시 만안구 안양동 709-33 아성,37.3944210624897,126.918527768801,Y
경기도 수원시 권선구 권선동,944-13,문영,경기도 수원시 권선구 권선동 944-13 문영,37.2628003435261,127.023735013173,Y
경기도 안양시 만안구 안양동,138-4,기연안양홈타운,경기도 안양시 만안구 안양동 138-4 기연안양홈타운,,,N
경기도 남양주시 진접읍 장현리,347-26,진양,경기도 남양주시 진접읍 장현리 347-26 진양,37.7187261737529,127.184745615373,Y
경기도 부천시 원미구 역곡동,245-8,대우,경기도 부천시 원미구 역곡동 245-8 대우,37.4910357766613,126.818765203261,Y
경기도 부천시 원미구 상동,571-4,백송마을(동남디아망),경기도 부천시 원미구 상동 571-4 백송마을(동남디아망),37.4983630697412,126.75036156079,Y
경기도 화성시 진안동,936,월드메르디앙2단지,경기도 화성시 진안동 936 월드메르디앙2단지,37.2140447786522,127.035482370161,Y
경기도 고양시 덕양구 주교동,585-18,거보플러스-1,경기도 고양시 덕양구 주교동 585-18 거보플러스-1,37.6587584731701,126.834302537441,Y
