정책후판정,정책세부유형,심화행동라벨,시도,시군구,투자검토분류,상승확률점수,투자적합성점수,정책메모,토허활성여부,임차수요기반양호,월세비중높음,임차선행,broad,completed_unsold,completed_unsold_ratio_pct,정책판정메모
정책 리스크 경계,시장 규모·출구 점검형,회피,충청남도,부여군,즉시 제외,47.255497325035485,24.516409476200824,중립,아니오,아니오,아니오,아니오,부여군,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,대구광역시,동구,판단 보류,47.041236036530826,73.29104515658163,중립,아니오,아니오,예,아니오,동구,658.0,0.6662818838158308,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.666%, 중립, 월세 비중 높음"
정책 리스크 경계,시장 규모·출구 점검형,회피,충청북도,증평군,즉시 제외,46.891160464641565,15.39013257987394,중립,아니오,예,아니오,아니오,증평군,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립, 임차 수요 기반 양호"
정책 리스크 경계,공급 부담 우선 점검형,보수 접근,경기도,의왕시,판단 보류,46.7563780552682,61.866717111953655,수도권 공급 부담 경계,아니오,아니오,아니오,아니오,의왕시,0.0,0.0,"공급 부담 우선 점검형, 준공후미분양비율 0.000%, 수도권 공급 부담 경계"
정책 리스크 경계,시장 규모·출구 점검형,회피,경상북도,김천시,즉시 제외,46.60037443701266,34.27558689603173,중립,아니오,아니오,아니오,아니오,김천시,55.0,0.17082336863682954,"시장 규모·출구 점검형, 준공후미분양비율 0.171%, 중립"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,성북구,판단 보류,46.54279422032359,79.31869346706702,중립,예,아니오,아니오,아니오,성북구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,중랑구,판단 보류,46.28108302318053,61.60185252266683,중립,예,아니오,아니오,예,중랑구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성, 임차 선행"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,강북구,판단 보류,46.02649670825421,50.86900056616785,중립,예,아니오,아니오,예,강북구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성, 임차 선행"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,송파구,우선 검토,45.890282138533586,92.44112256863107,고가 핵심지 규제 민감,예,아니오,아니오,아니오,송파구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 고가 핵심지 규제 민감, 토허 활성"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,도봉구,판단 보류,45.61627373095082,60.71315682849407,중립,예,아니오,아니오,아니오,도봉구,63.0,0.09632291109242412,"직접 규제 영향형, 준공후미분양비율 0.096%, 중립, 토허 활성"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,동작구,판단 보류,45.56464312432728,77.14463576087861,중립,예,아니오,아니오,아니오,동작구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,부산광역시,동구,즉시 제외,45.47304576140169,37.92959662553229,중립,아니오,아니오,아니오,아니오,동구,325.0,2.031884964051266,"미분양·월세 구조 동시 점검형, 준공후미분양비율 2.032%, 중립"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경기도,동두천시,즉시 제외,44.41594856343619,18.188531210338063,중립,아니오,아니오,아니오,예,동두천시,137.0,0.6048832178021104,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.605%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,전북특별자치도,남원시,즉시 제외,44.21262333767424,11.192333389681792,중립,아니오,아니오,예,예,남원시,92.0,0.6506825093712426,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.651%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,강원특별자치도,속초시,즉시 제외,44.12896367751435,36.060840236019544,중립,아니오,아니오,아니오,아니오,속초시,236.0,0.8030761901521081,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.803%, 중립"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,충청북도,진천군,즉시 제외,43.578103615514,29.374049119756577,중립,아니오,아니오,예,예,진천군,100.0,0.3800836183960471,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.380%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,대구광역시,서구,즉시 제외,43.175287771643525,41.87007118688637,중립,아니오,아니오,예,아니오,서구,713.0,3.0566749549858527,"미분양·월세 구조 동시 점검형, 준공후미분양비율 3.057%, 중립, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,대구광역시,남구,즉시 제외,42.804516515022286,38.30195260826283,중립,아니오,아니오,아니오,예,남구,99.0,0.4692165505474193,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.469%, 중립, 임차 선행"
정책 리스크 경계,직접 규제 영향형,회피,서울특별시,중구,즉시 제외,42.59461946715957,49.44220392238939,중립,예,아니오,예,아니오,중구,1.0,0.004101386268558773,"직접 규제 영향형, 준공후미분양비율 0.004%, 중립, 토허 활성, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경상북도,경주시,즉시 제외,42.27847859052604,38.272812405247386,중립,아니오,예,아니오,예,경주시,695.0,1.2269397122429164,"미분양·월세 구조 동시 점검형, 준공후미분양비율 1.227%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,관악구,판단 보류,41.092688197586064,64.16152151571988,중립,예,아니오,예,아니오,관악구,4.0,0.007741286214704573,"직접 규제 영향형, 준공후미분양비율 0.008%, 중립, 토허 활성, 월세 비중 높음"
정책 리스크 경계,시장 규모·출구 점검형,회피,경기도,여주시,즉시 제외,41.06603962054885,24.82039599550286,중립,아니오,아니오,아니오,예,여주시,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립, 임차 선행"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,서초구,판단 보류,40.67341120934155,76.89850032601609,고가 핵심지 규제 민감,예,아니오,예,아니오,서초구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 고가 핵심지 규제 민감, 토허 활성, 월세 비중 높음"
정책 리스크 경계,시장 규모·출구 점검형,회피,전라남도,고흥군,즉시 제외,40.243519186402544,15.409693544881549,중립,아니오,예,아니오,예,고흥군,4.0,0.09285051067780872,"시장 규모·출구 점검형, 준공후미분양비율 0.093%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,마포구,판단 보류,40.182437792684006,77.69086698812121,중립,예,아니오,아니오,아니오,마포구,47.0,0.06366838255215389,"직접 규제 영향형, 준공후미분양비율 0.064%, 중립, 토허 활성"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,강남구,판단 보류,39.860019352453506,84.13291796469366,고가 핵심지 규제 민감,예,아니오,예,아니오,강남구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 고가 핵심지 규제 민감, 토허 활성, 월세 비중 높음"
정책 리스크 경계,직접 규제 영향형,회피,서울특별시,종로구,즉시 제외,39.22534588216864,41.58545780439572,중립,예,아니오,예,아니오,종로구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성, 월세 비중 높음"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,용산구,판단 보류,38.60972621669972,54.48461284583866,고가 핵심지 규제 민감,예,아니오,아니오,아니오,용산구,1.0,0.0026441036488630354,"직접 규제 영향형, 준공후미분양비율 0.003%, 고가 핵심지 규제 민감, 토허 활성"
정책 리스크 경계,정책 리스크 점검형,보수 접근,인천광역시,미추홀구,판단 보류,37.49202592341813,63.39013794639383,중립,아니오,아니오,예,아니오,미추홀구,160.0,0.18953079283099777,"정책 리스크 점검형, 준공후미분양비율 0.190%, 중립, 월세 비중 높음"
정책 리스크 경계,공급 부담 우선 점검형,관찰 유지,인천광역시,서구,판단 보류,37.44476305275419,90.85094222673008,수도권 공급 부담 경계,아니오,아니오,예,예,서구,979.0,0.572601682127107,"공급 부담 우선 점검형, 준공후미분양비율 0.573%, 수도권 공급 부담 경계, 임차 선행, 월세 비중 높음"
