시도,시군구,pre6_sale_pp,pre6_sale_trades,anchor_sale_pp,prev12_sale_pp,pre12_change_pct,급지_점수,급지그룹,distance,정책국면,selected
서울특별시,은평구,3307.9110377898564,106.83333333333333,3388.3775639869345,3307.3413959510362,2.4501906012819097,8.0,상급지,5.700511656511652,2025-03 토허확대,0
서울특별시,종로구,4353.674883641396,30.0,4826.9475645110615,3188.609088374562,51.380976178916484,9.0,상급지,5.722437331729396,2025-03 토허확대,0
서울특별시,구로구,3124.460938216691,143.5,3091.8443118479345,2995.0046476056013,3.2333727535198697,7.0,중급지,5.847453327923138,2025-03 토허확대,0
서울특별시,중랑구,2927.0889653438803,92.83333333333333,2929.755336133433,2765.8843708165996,5.924722199014143,7.0,중급지,6.211009937292301,2025-03 토허확대,0
서울특별시,강북구,2928.4051842863914,56.5,2921.233784595808,2653.838380260906,10.075798372793665,6.0,중급지,6.67197120237678,2025-03 토허확대,0
서울특별시,도봉구,2422.385980969602,91.5,2466.971101616703,2233.1182156999766,10.472033422709991,5.0,중급지,7.13254218451751,2025-03 토허확대,0
서울특별시,금천구,2639.467962218635,39.833333333333336,2489.42521423007,2611.8820165094344,-4.688450760996377,6.0,중급지,7.361990039956741,2025-03 토허확대,0
서울특별시,성동구,6450.818454388381,442.3333333333333,6585.229083665339,5933.759563323918,10.979034680948342,10.0,상급지,2.9429197581539284,2025-07 대출규제,1
서울특별시,마포구,6260.917818787016,409.3333333333333,6421.644984695079,5781.1765460762035,11.078513750865703,10.0,상급지,3.040532024642054,2025-07 대출규제,1
서울특별시,광진구,5708.340247900568,195.83333333333334,5884.022924290923,5423.797391406988,8.485300974056997,10.0,상급지,3.386697922665562,2025-07 대출규제,1
서울특별시,동작구,5223.005737292679,392.3333333333333,5280.073263888889,5059.74609335418,4.354510413558166,9.0,상급지,3.730035369233557,2025-07 대출규제,1
서울특별시,강동구,5260.498966868653,459.0,5400.377340491075,5255.124936707371,2.7640142819271185,9.0,상급지,3.7787663933057334,2025-07 대출규제,0
서울특별시,영등포구,4925.7416673161415,404.0,5113.052983217153,4844.134154322021,5.551432316448102,9.0,상급지,4.070205077890942,2025-07 대출규제,0
서울특별시,양천구,5265.630429769508,318.1666666666667,5057.93800855848,5431.76687279152,-6.882270041919525,9.0,상급지,4.182492432144454,2025-07 대출규제,0
서울특별시,중구,5097.844399825818,117.16666666666667,4994.520529683612,4994.813159449651,-0.005858672921232877,9.0,상급지,4.239720360931307,2025-07 대출규제,0
서울특별시,서대문구,4484.491449273306,272.1666666666667,4707.853936472217,4376.7969366019,7.563910427321474,9.0,상급지,4.589367569495502,2025-07 대출규제,0
서울특별시,종로구,4718.004600637336,55.833333333333336,4839.082607737464,4678.471189651833,3.432989358593952,9.0,상급지,4.775615147487568,2025-07 대출규제,0
서울특별시,강서구,3973.7435851656905,343.1666666666667,4184.72128800602,4001.1610203974537,4.587675094123855,8.0,상급지,5.486617063941981,2025-07 대출규제,0
서울특별시,동대문구,3909.3111097488113,297.6666666666667,4006.449679108994,3905.620871459695,2.581633265689076,8.0,상급지,5.536383428166724,2025-07 대출규제,0
서울특별시,성북구,3649.201979193255,350.3333333333333,3850.7202612072015,3747.180863477246,2.7631278420298777,8.0,상급지,5.773271177129164,2025-07 대출규제,0
서울특별시,은평구,3601.5962930384376,198.83333333333334,4142.758336584873,3825.2417407345297,8.300562876043838,8.0,상급지,6.058064105973251,2025-07 대출규제,0
서울특별시,관악구,3564.8284429552764,184.0,3554.2934046188284,3321.4941677670877,7.008870860316541,8.0,상급지,6.0626183003167675,2025-07 대출규제,0
