분석권역,급지레벨,기준기간,전용면적_구분,최소거래건수,시도,시군구,평단가_평균,평단가_중앙값,거래건수,급지,급지_점수,급지그룹,산정방식
수도권,시군구,202301~202512,중소형,50,서울특별시,영등포구,4778.065443642777,4537.446838714992,3654,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,성남시 수정구,4325.988603117939,4496.638661729883,1824,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,서대문구,4204.241633424267,4163.849420417455,3056,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,하남시,3666.6996796447816,3695.570566919975,5000,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,강서구,3795.125995890345,3668.65494109856,3248,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,동대문구,3923.020701880294,3633.589605589477,2896,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,광명시,3500.031159337868,3456.2234565990807,2938,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,관악구,3363.8722737068524,3370.4669168215523,1846,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,성북구,3501.028800852777,3353.4608321835276,3507,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,은평구,3426.6748540393764,3345.1292899763735,2525,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,성남시 중원구,3332.616667763283,3162.750186099073,1314,3,8,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,용인시 수지구,3302.1360130075523,3134.9313645964367,7155,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,노원구,3143.1121620816552,3113.8915567803524,3269,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,구로구,3151.423105610432,3101.2068855049083,2868,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,안양시 동안구,3132.81403386836,3014.4528427748915,4115,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,수원시 영통구,3099.8608447304705,2848.2238198265113,5840,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,중랑구,2975.9417742442993,2812.2707674362887,1816,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,구리시,2854.7117229460355,2793.3238282204798,2167,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,의왕시,2914.4215198368797,2789.5115145160617,2583,4,7,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,강북구,2725.0642527784494,2682.613614686672,1122,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,화성시 동탄구,2847.588350543964,2616.616992521409,9687,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,금천구,2855.7664942053166,2591.4736619568744,793,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,연수구,2459.017235490198,2586.293757331499,7380,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,수원시 팔달구,2573.580393571631,2567.253281624142,1737,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,고양시 덕양구,2532.212251693847,2541.8825315812182,5387,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,부천시 원미구,2531.529863580568,2483.4680703094086,2952,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,안양시 만안구,2457.880477454206,2407.181815260481,2119,5,6,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,용인시 기흥구,2288.010946371997,2240.2197363358773,7415,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,도봉구,2468.540928162539,2237.846063434179,1960,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,부천시 소사구,2196.963598050937,2168.158181466175,2310,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,군포시,2322.8958099672445,2141.304696951853,1780,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,시흥시,1993.998377068786,2115.7319156089734,7587,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,고양시 일산동구,2213.3345762807253,2030.2447909091886,2281,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,수원시 권선구,1990.823737034845,2022.562540842636,4375,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,수원시 장안구,2243.8665276157076,2003.3882546987234,2217,6,5,중급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,안산시 단원구,2081.8475586908326,1952.4283510656537,3163,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,부천시 오정구,2021.3396516587354,1946.9865350949883,426,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,남양주시,2121.838125457514,1906.0242522136866,9531,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,김포시,1871.2269667041128,1817.3737913706836,8118,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,서구,1846.5033274764928,1810.1008013025187,10226,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,광주시,1786.5561700958085,1792.4715415917694,4276,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,안산시 상록구,1834.4209757092326,1687.1169340747008,1911,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,고양시 일산서구,1744.4806440771758,1676.782625206713,3338,7,4,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,남동구,1618.4681137848438,1633.5543895434473,5595,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,화성시 만세구,1625.4272631131516,1611.7578870446532,2871,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,중구,1531.0714078176418,1609.9310161732167,2344,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,의정부시,1643.728505480045,1581.0616145566976,5348,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,용인시 처인구,1549.3455094391866,1551.4904367676916,2678,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,파주시,1640.7776513154304,1518.9074032219935,6380,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,화성시 병점구,1746.5150489277178,1516.950462815752,3651,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,부평구,1689.6723220062972,1516.807687648071,4513,8,3,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,양평군,1495.1981771282212,1503.315924945095,590,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,평택시,1527.4653403232458,1478.2264872707583,8956,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,오산시,1552.8240872935226,1458.7297917785756,3796,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,미추홀구,1512.0985905242912,1429.0271132376397,3461,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,양주시,1330.6004821064246,1362.131098505199,4440,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,계양구,1444.5604954988075,1348.1038626106326,2405,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,이천시,1274.508680210458,1342.4263196182046,1807,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,화성시 효행구,1376.528472367943,1255.7046383923916,2182,9,2,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,동구,1254.2672992481057,1235.7300137257262,489,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,안성시,1050.6576735591268,1040.6089655978021,2078,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,여주시,1113.8551213798396,993.7229831563955,1048,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,가평군,944.6872301229532,952.0193908244021,439,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,포천시,931.1597856537429,910.4101865246523,810,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,인천광역시,강화군,904.4359881642902,856.72367448784,173,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,동두천시,833.9015179742563,828.5448723468111,733,10,1,하급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,연천군,811.5818063897791,818.9516327165718,175,10,1,하급지,현재 DuckDB 재산출
