분석권역,서열체계,급지레벨,비교집단,기준기간,전용면적_구분,최소거래건수,시도,시군구,평단가_평균,평단가_중앙값,거래건수,서열단계수,급지,급지_점수,급지그룹,비고,산정방식,데이터출처
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,화성시 동탄구,2847.588350543976,2616.616992521409,9687,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,금천구,2855.7664942053166,2591.4736619568744,793,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,연수구,2459.017235490198,2586.293757331499,7380,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,수원시 팔달구,2573.580393571631,2567.253281624142,1737,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,고양시 덕양구,2532.212251693847,2541.8825315812182,5387,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,부천시 원미구,2531.529863580568,2483.4680703094086,2952,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,안양시 만안구,2457.880477454206,2407.181815260481,2119,10,5,6,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,용인시 기흥구,2288.010946371997,2240.2197363358773,7415,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,서울특별시,도봉구,2468.5409281625384,2237.846063434179,1960,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,부천시 소사구,2196.963598050937,2168.158181466175,2310,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,군포시,2322.8958099672445,2141.304696951853,1780,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,시흥시,1993.998377068786,2115.7319156089734,7587,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,고양시 일산동구,2213.3345762807253,2030.2447909091886,2281,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,수원시 권선구,1990.823737034845,2022.562540842636,4375,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,수원시 장안구,2243.8665276157076,2003.3882546987234,2217,10,6,5,중급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,안산시 단원구,2081.8475586908326,1952.4283510656537,3163,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,부천시 오정구,2021.3396516587354,1946.9865350949883,426,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,남양주시,2121.838125457514,1906.0242522136866,9531,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,김포시,1871.2269667041128,1817.3737913706836,8118,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,서구,1846.5033274764928,1810.1008013025187,10226,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,광주시,1786.5561700958085,1792.4715415917694,4276,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,안산시 상록구,1834.4209757092326,1687.1169340747008,1911,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,고양시 일산서구,1744.4806440771758,1676.782625206713,3338,10,7,4,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,남동구,1618.4681137848438,1633.5543895434473,5595,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,화성시 만세구,1625.4272631131514,1611.7578870446532,2871,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,중구,1531.0714078176418,1609.9310161732167,2344,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,의정부시,1643.728505480045,1581.0616145566976,5348,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,용인시 처인구,1549.3455094391866,1551.4904367676916,2678,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,파주시,1640.7776513154304,1518.9074032219935,6380,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,화성시 병점구,1746.5150489277205,1516.950462815752,3651,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,인천광역시,부평구,1689.6723220062972,1516.807687648071,4513,10,8,3,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
수도권,10급지,시군구,수도권 전체,202301~202512,중소형,50,경기도,양평군,1495.198177128221,1503.315924945095,590,10,9,2,하급지,,현재 DuckDB 재산출(수도권 10급지),apartment.duckdb/v_sale_clean
