시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
서울특별시,동작구,439.0,1532.0,99.3,100.0,0.0,0.0,0.7,99.3,100.0,0.0,0.0,0.7,0.3999999999999915,0.0,0.0,0.0,-0.40000000000000013
서울특별시,마포구,430.0,1575.0,99.3,99.8,0.2,0.0,0.5,99.0,99.8,0.1,0.1,0.8,2.5,0.0,0.2,-0.2,-2.5
경상북도,안동시,423.0,730.0,83.7,98.6,0.9,0.5,14.9,89.9,99.0,0.5,0.4,9.2,-13.299999999999997,0.3999999999999915,0.0,-0.4,13.700000000000001
경상북도,김천시,420.0,840.0,83.8,98.8,0.5,0.7,15.0,83.2,98.3,0.7,1.0,15.1,-7.0,1.2000000000000028,-1.4,0.19999999999999996,8.2
경기도,성남시 수정구,397.0,1082.0,72.8,99.5,0.0,0.5,26.7,83.9,99.7,0.0,0.3,15.8,-6.799999999999997,0.5999999999999943,0.0,-0.6000000000000001,7.300000000000001
서울특별시,도봉구,394.0,931.0,99.7,100.0,0.0,0.0,0.3,99.5,99.9,0.0,0.1,0.4,1.2000000000000028,0.4000000000000057,0.0,-0.4,-0.8
전라남도,나주시,392.0,854.0,92.1,99.0,0.8,0.3,6.9,72.5,96.3,3.6,0.1,23.8,12.5,4.599999999999994,0.5,-5.0,-7.9
대구광역시,서구,383.0,684.0,98.2,99.7,0.0,0.3,1.6,98.0,99.6,0.3,0.1,1.6,34.400000000000006,34.2,-34.5,0.3,-0.09999999999999987
충청북도,진천군,380.0,658.0,62.1,97.1,2.9,0.0,35.0,69.3,97.3,2.7,0.0,28.0,-30.4,2.0999999999999943,-1.5000000000000004,-0.6,32.5
전라북도,완주군,369.0,755.0,90.8,94.3,4.6,1.1,3.5,88.3,96.6,2.8,0.7,8.2,9.700000000000003,-4.0,2.8999999999999995,1.1,-13.8
경기도,이천시,363.0,725.0,95.9,99.4,0.3,0.3,3.6,93.0,98.1,1.1,0.8,5.1,7.0,7.6000000000000085,-7.8999999999999995,0.3,0.7000000000000002
광주광역시,동구,343.0,677.0,96.2,99.4,0.0,0.6,3.2,95.4,99.4,0.3,0.3,4.0,2.6000000000000085,3.9000000000000057,-4.5,0.6,1.3000000000000003
경기도,의왕시,330.0,883.0,99.1,100.0,0.0,0.0,0.9,98.5,99.9,0.1,0.0,1.4,3.799999999999997,0.9000000000000057,-0.4,-0.4,-3.0
서울특별시,용산구,327.0,736.0,99.7,100.0,0.0,0.0,0.3,85.3,85.6,0.0,14.4,0.3,4.700000000000003,0.9000000000000057,-0.5,-0.5,-3.8
충청남도,홍성군,326.0,540.0,83.4,98.8,1.2,0.0,15.3,89.1,98.7,1.3,0.0,9.6,-14.899999999999991,-0.6000000000000085,0.6,0.0,14.200000000000001
경기도,성남시 중원구,323.0,891.0,98.1,100.0,0.0,0.0,1.9,98.1,99.7,0.3,0.0,1.6,-0.6000000000000085,0.0,0.0,0.0,0.5999999999999999
전라남도,무안군,321.0,584.0,97.2,100.0,0.0,0.0,2.8,97.3,100.0,0.0,0.0,2.7,0.29999999999999716,0.5,-0.5,0.0,0.19999999999999973
강원도,동해시,299.0,576.0,92.0,98.0,1.7,0.3,6.0,86.5,98.3,1.6,0.2,11.8,1.5,0.29999999999999716,0.19999999999999996,-0.5,-1.2999999999999998
강원도,속초시,297.0,579.0,94.9,97.6,1.3,1.0,2.7,94.8,97.4,1.9,0.7,2.6,1.3000000000000114,-1.6000000000000085,0.9,0.6,-2.8999999999999995
충청남도,공주시,290.0,606.0,70.0,96.2,3.1,0.7,26.2,63.5,97.5,2.1,0.3,34.0,-21.0,3.4000000000000057,-4.1,0.7,24.4
충청남도,논산시,283.0,471.0,99.6,99.6,0.4,0.0,0.0,98.1,99.2,0.4,0.4,1.1,12.399999999999991,2.3999999999999915,-1.8000000000000003,-0.6,-10.1
경상북도,영주시,281.0,479.0,74.4,98.6,0.7,0.7,24.2,84.1,98.7,0.4,0.8,14.6,34.60000000000001,-1.4000000000000057,0.7,0.7,-36.0
전라북도,정읍시,280.0,476.0,96.1,97.9,1.4,0.7,1.8,96.2,98.3,1.3,0.4,2.1,6.199999999999989,3.9000000000000057,-2.0,-2.0,-2.2
경상남도,통영시,270.0,488.0,97.4,98.9,0.4,0.7,1.5,96.5,99.0,0.6,0.4,2.5,-1.1999999999999886,-0.5999999999999943,0.4,0.19999999999999996,0.6
서울특별시,강북구,269.0,586.0,99.3,99.6,0.4,0.0,0.4,99.1,99.8,0.2,0.0,0.7,-0.10000000000000853,-0.4000000000000057,0.4,0.0,-0.19999999999999996
충청북도,음성군,269.0,511.0,91.1,95.5,4.5,0.0,4.5,91.4,95.7,4.1,0.2,4.3,0.7999999999999972,2.700000000000003,-1.4000000000000004,-1.3,2.0
경상북도,칠곡군,263.0,535.0,96.2,97.7,2.3,0.0,1.5,96.3,98.3,1.1,0.6,2.1,-2.5,-1.8999999999999915,2.3,-0.4,0.6
