시도,시군구,total_recent_3m,total_recent_6m,시군구내비중_최근3m,시도내비중_최근3m,서울외지비중_최근3m,기타외지비중_최근3m,시군구내비중_최근6m,시도내비중_최근6m,서울외지비중_최근6m,기타외지비중_최근6m,시군구내비중_변화_3mYoY,시도내비중_변화_3mYoY,서울외지비중_변화_3mYoY,기타외지비중_변화_3mYoY
충청북도,청주시 서원구,760.0,1444.0,44.3,33.7,0.0,22.0,47.9,32.7,0.0,19.4,-8.900000000000006,6.300000000000004,0.0,2.6000000000000014
경기도,오산시,735.0,1309.0,44.5,42.4,0.0,13.1,44.5,41.4,0.0,14.1,-10.0,8.0,0.0,2.0
울산광역시,울주군,735.0,1577.0,63.9,23.9,0.0,12.1,65.9,24.2,0.0,10.0,-1.3999999999999986,3.299999999999997,0.0,-2.0
인천광역시,계양구,728.0,1338.0,53.0,15.9,0.0,31.0,53.9,16.3,0.0,29.8,-9.200000000000003,-0.7000000000000011,0.0,9.8
경기도,부천시 소사구,727.0,1238.0,50.1,21.2,0.0,28.7,54.4,19.9,0.0,25.7,-1.7999999999999972,0.3000000000000007,0.0,1.5
경기도,안산시 단원구,718.0,1312.0,62.0,28.1,0.0,9.9,60.4,29.0,0.0,10.5,-2.5,0.20000000000000284,0.0,2.3000000000000007
충청북도,청주시 상당구,718.0,1405.0,59.7,29.1,0.0,11.1,59.7,29.9,0.0,10.4,6.300000000000004,2.8000000000000007,0.0,-9.1
서울특별시,구로구,711.0,1624.0,37.0,44.3,0.0,18.7,38.6,39.0,0.0,22.4,-3.1000000000000014,8.599999999999994,0.0,-5.5
충청북도,충주시,707.0,1387.0,76.7,5.9,0.0,17.4,78.4,4.9,0.0,16.7,0.5,0.5,0.0,-0.9000000000000021
부산광역시,금정구,705.0,1177.0,56.2,26.8,0.0,17.0,55.7,29.3,0.0,15.0,9.0,-15.8,0.0,6.800000000000001
서울특별시,동대문구,703.0,1958.0,22.6,46.4,0.0,31.0,25.0,49.5,0.0,25.5,-7.5,1.3999999999999986,0.0,6.100000000000001
충청북도,청주시 청원구,693.0,1734.0,65.2,20.3,0.0,14.4,71.2,18.6,0.0,10.1,8.300000000000004,-6.099999999999998,0.0,-2.299999999999999
서울특별시,강동구,686.0,2380.0,39.7,36.9,0.0,23.5,37.4,36.8,0.0,25.8,7.600000000000001,8.2,0.0,-15.700000000000003
서울특별시,영등포구,676.0,1860.0,32.2,48.5,0.0,19.2,32.4,43.7,0.0,23.9,-3.0999999999999943,7.5,0.0,-4.5
부산광역시,수영구,674.0,1239.0,34.3,49.1,0.0,16.6,34.9,47.7,0.0,17.4,-0.20000000000000284,-1.3999999999999986,0.0,1.6000000000000014
경기도,용인시 처인구,670.0,1232.0,53.0,30.7,0.0,16.3,54.0,30.6,0.0,15.4,-3.5,2.5,0.0,1.0
광주광역시,남구,657.0,1224.0,50.2,29.7,0.0,20.1,52.1,29.7,0.0,18.2,3.1000000000000014,-4.099999999999998,0.0,1.1000000000000014
서울특별시,양천구,640.0,1575.0,44.1,40.6,0.0,15.3,45.3,36.8,0.0,17.9,-2.5,6.200000000000003,0.0,-3.8000000000000007
대구광역시,중구,639.0,1110.0,26.8,56.8,0.0,16.4,27.9,54.7,0.0,17.4,3.3000000000000007,-2.200000000000003,0.0,-1.0
서울특별시,서대문구,639.0,1528.0,29.6,50.7,0.0,19.7,30.0,46.5,0.0,23.5,6.5,9.400000000000006,0.0,-15.8
경상남도,거제시,635.0,1247.0,70.4,7.2,0.0,22.4,68.3,7.7,0.0,24.0,1.8000000000000114,-0.5,0.0,-1.3000000000000007
서울특별시,은평구,627.0,1514.0,40.7,41.5,0.0,17.9,40.9,36.7,0.0,22.4,-4.699999999999996,4.600000000000001,0.0,0.1999999999999993
서울특별시,서초구,625.0,1125.0,41.1,42.1,0.0,16.8,40.8,42.2,0.0,17.0,-4.199999999999996,6.100000000000001,0.0,-1.8000000000000007
