시도,시군구,total_recent_3m,total_recent_6m,소형비중_최근3m,국민평형비중_최근3m,중대형비중_최근3m,대형비중_최근3m,소형비중_최근6m,국민평형비중_최근6m,중대형비중_최근6m,대형비중_최근6m,소형비중_변화_3mYoY,국민평형비중_변화_3mYoY,중대형비중_변화_3mYoY,대형비중_변화_3mYoY
서울특별시,영등포구,676.0,1860.0,39.2,44.2,13.9,2.7,38.2,46.7,11.9,3.2,-5.399999999999999,5.400000000000006,2.9000000000000004,-2.8999999999999995
부산광역시,수영구,674.0,1239.0,21.2,61.3,14.7,2.8,21.9,60.5,14.7,3.0,-10.0,3.299999999999997,6.699999999999999,-0.10000000000000009
경기도,용인시 처인구,670.0,1232.0,39.6,55.2,5.1,0.1,38.7,55.9,5.0,0.3,-5.699999999999996,4.700000000000003,1.1999999999999997,-0.19999999999999998
광주광역시,남구,657.0,1224.0,23.3,66.2,6.1,4.4,22.5,67.0,7.0,3.5,-2.1999999999999993,0.20000000000000284,0.5999999999999996,1.4000000000000004
서울특별시,양천구,640.0,1575.0,38.4,44.8,13.9,2.8,36.3,47.1,13.3,3.4,8.299999999999997,-2.0,-2.5999999999999996,-3.8
대구광역시,중구,639.0,1110.0,28.8,65.4,4.7,1.1,30.1,63.7,5.0,1.3,-0.8999999999999986,1.2000000000000028,-0.09999999999999964,-0.19999999999999996
서울특별시,서대문구,639.0,1528.0,37.6,50.4,11.4,0.6,38.9,50.0,10.2,0.9,-22.699999999999996,16.9,5.800000000000001,0.09999999999999998
경상남도,거제시,635.0,1247.0,32.6,63.0,3.8,0.6,35.8,59.3,4.3,0.6,-4.299999999999997,2.3999999999999986,1.6999999999999997,0.09999999999999998
서울특별시,은평구,627.0,1514.0,49.8,42.9,6.9,0.5,47.9,43.8,7.2,1.1,-3.3000000000000043,5.699999999999996,-0.2999999999999998,-2.1
서울특별시,서초구,625.0,1125.0,29.8,33.8,20.3,16.2,26.9,35.5,22.8,14.8,6.400000000000002,-9.300000000000004,-1.1999999999999993,4.199999999999999
경기도,고양시 일산동구,619.0,1140.0,24.2,50.1,20.4,5.3,26.4,49.0,19.6,5.0,-8.7,7.0,3.099999999999998,-1.2999999999999998
경기도,안성시,603.0,1070.0,57.2,38.1,4.5,0.2,56.9,38.1,4.8,0.2,4.100000000000001,-5.399999999999999,1.5,-0.2
강원도,강릉시,600.0,1097.0,48.5,45.0,5.0,1.5,50.1,42.3,5.7,1.8,0.29999999999999716,-0.8999999999999986,0.5,0.10000000000000009
부산광역시,강서구,600.0,1076.0,31.5,55.0,10.3,3.2,30.3,55.3,10.5,3.9,1.6999999999999993,1.5,0.20000000000000107,-3.3999999999999995
대전광역시,중구,597.0,1070.0,31.2,56.8,10.4,1.7,33.8,54.9,9.7,1.6,-10.500000000000004,6.699999999999996,3.4000000000000004,0.5999999999999999
경상남도,창원시 마산합포구,595.0,1056.0,24.7,62.9,9.6,2.9,24.5,63.0,9.1,3.4,-0.6999999999999993,-1.8000000000000043,4.1,-1.5000000000000004
충청남도,서산시,583.0,1116.0,29.7,65.2,3.9,1.2,29.8,64.8,4.3,1.1,-3.400000000000002,5.200000000000003,-1.8000000000000003,0.09999999999999987
대전광역시,동구,574.0,1023.0,41.6,55.1,3.1,0.2,42.6,53.7,3.5,0.2,-13.0,12.700000000000003,0.30000000000000027,0.0
충청북도,제천시,568.0,993.0,57.9,39.8,2.1,0.2,55.2,40.8,3.5,0.5,4.0,-1.5,-1.2999999999999998,-1.1
경상북도,경주시,563.0,1352.0,33.6,57.9,7.1,1.4,31.4,60.9,6.7,1.0,-2.6999999999999957,2.5,0.1999999999999993,0.09999999999999987
