시도,시군구,total_recent_3m,total_recent_6m,20대이하비중_최근3m,30대비중_최근3m,40_50대비중_최근3m,60대이상비중_최근3m,30_50대비중_최근3m,20대이하비중_최근6m,30대비중_최근6m,40_50대비중_최근6m,60대이상비중_최근6m,30_50대비중_최근6m,20대이하비중_변화_3mYoY,30대비중_변화_3mYoY,40_50대비중_변화_3mYoY,60대이상비중_변화_3mYoY,30_50대비중_변화_3mYoY
전라남도,무안군,321.0,584.0,3.7,30.2,53.6,12.5,83.8,4.6,30.0,50.5,14.9,80.5,-3.0,2.8999999999999986,0.0,0.5999999999999996,2.8999999999999915
강원도,동해시,299.0,576.0,2.7,20.7,46.8,27.8,67.6,3.6,18.2,49.8,26.6,68.1,0.0,6.199999999999999,-6.300000000000004,0.3000000000000007,0.0
강원도,속초시,297.0,579.0,2.4,18.9,38.0,38.4,56.9,3.5,17.1,43.7,33.2,60.8,-0.3999999999999999,2.8999999999999986,-11.200000000000003,7.199999999999999,-8.300000000000004
충청남도,공주시,290.0,606.0,2.4,14.1,49.0,30.7,63.1,2.1,15.7,50.7,29.0,66.3,0.0,-1.5999999999999996,8.600000000000001,-3.599999999999998,7.100000000000001
충청남도,논산시,283.0,471.0,1.1,29.3,38.5,30.7,67.8,2.8,24.6,41.4,30.4,66.0,-5.0,10.3,-5.600000000000001,2.8000000000000007,4.699999999999996
경상북도,영주시,281.0,479.0,1.8,18.9,49.5,28.5,68.3,2.5,20.9,45.5,29.9,66.4,-2.3,5.999999999999998,-3.700000000000003,-1.3000000000000007,2.200000000000003
전라북도,정읍시,280.0,476.0,5.7,14.6,47.5,30.0,62.1,5.5,15.8,45.4,31.7,61.1,-0.2999999999999998,0.5,0.5,3.1999999999999993,1.0
경상남도,통영시,270.0,488.0,2.6,17.0,52.2,27.0,69.3,2.7,15.8,53.7,26.8,69.5,-2.1,1.5,-4.599999999999994,4.5,-3.0
서울특별시,강북구,269.0,586.0,3.3,42.8,34.9,18.6,77.7,3.6,36.5,41.3,18.4,77.8,0.6999999999999997,7.099999999999994,-7.300000000000004,-0.8999999999999986,-0.20000000000000284
충청북도,음성군,269.0,511.0,2.2,15.6,42.8,34.9,58.4,2.2,14.3,46.2,33.1,60.5,-1.5999999999999996,5.5,-0.20000000000000284,-1.0,5.199999999999996
경상북도,칠곡군,263.0,535.0,4.2,17.5,56.3,19.8,73.8,3.2,17.6,57.0,20.6,74.6,0.6000000000000001,-0.3999999999999986,-0.4000000000000057,-1.5999999999999979,-0.7999999999999972
대구광역시,남구,257.0,444.0,2.3,23.3,45.1,29.2,68.5,3.6,22.3,44.8,29.3,67.1,-0.40000000000000036,3.6000000000000014,6.300000000000004,2.599999999999998,10.0
서울특별시,광진구,256.0,856.0,1.6,20.7,46.5,11.7,67.2,1.3,25.2,53.9,13.7,79.1,-2.0,-14.500000000000004,-3.8999999999999986,1.6999999999999993,-18.39999999999999
경상북도,영천시,237.0,442.0,3.0,16.9,38.4,40.1,55.3,4.1,19.2,41.9,33.3,61.1,1.2,2.8999999999999986,-10.899999999999999,6.200000000000003,-8.0
경기도,동두천시,235.0,413.0,3.0,13.6,41.7,40.9,55.3,3.9,14.3,41.2,40.2,55.4,-1.0999999999999996,-0.5999999999999996,-8.299999999999997,9.799999999999997,-8.900000000000006
부산광역시,서구,222.0,418.0,0.9,22.5,46.4,26.6,68.9,2.2,20.6,46.2,28.7,66.7,-0.4999999999999999,-1.1000000000000014,2.799999999999997,-4.799999999999997,1.6000000000000085
서울특별시,금천구,219.0,471.0,5.5,33.8,43.4,17.4,77.2,3.4,33.8,44.4,18.5,78.1,0.09999999999999964,-0.8000000000000043,4.199999999999996,-3.400000000000002,3.4000000000000057
충청남도,계룡시,215.0,359.0,2.8,17.7,49.8,29.8,67.4,2.5,15.3,49.0,32.9,64.3,-0.6000000000000001,1.1999999999999993,6.599999999999994,-6.599999999999998,7.700000000000003
부산광역시,영도구,209.0,466.0,2.9,9.1,48.3,38.3,57.4,2.8,9.0,56.7,29.2,65.7,0.6999999999999997,-11.000000000000002,3.6999999999999957,5.899999999999999,-7.300000000000004
서울특별시,중구,203.0,551.0,3.9,40.9,38.4,15.8,79.3,2.0,41.0,41.0,15.6,82.0,0.19999999999999973,-1.2000000000000028,1.0,1.6000000000000014,-0.20000000000000284
경기도,여주시,198.0,393.0,3.0,11.6,48.0,36.9,59.6,3.8,15.8,46.6,32.8,62.3,-0.6000000000000001,-7.6,3.1000000000000014,4.600000000000001,-4.499999999999993
경상남도,밀양시,196.0,373.0,3.1,23.5,41.8,27.6,65.3,1.9,21.7,46.6,26.8,68.4,-0.19999999999999973,4.199999999999999,-3.0,-1.0999999999999979,1.2000000000000028
